text_clean,category
прошу оформить заявку на доступ,support_request
ошибка модуля при работе с 1с,errors
документ формируется неверно после обновления,documents
не работает отпуск в системе,support_request
ошибка авторизации при входе в программу,access
требуется добавить пользователя срочно,support_request
заявка не проходит,errors
обновления 1с не установились,software
все права есть но доступа нет,access
ошибку выдает программа при попытке входа,errors
нужна помощь по настройке документов,documents
системе требуются обновления,software
выдать доступ на период отпуска,access
прошу помочь с оформлением ндс,documents
формируется два документа что делать,documents
